Date,GSPC,VIX,SPY Volume,GDP,Core_Inflation,Unemployment,M2,Return,Return_5d,Return_20d,Return_Smooth,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,year,quarter,GDP_YoY,month,Core_Inflation_YoY,M2_YoY,Peak,Drawdown,VIX_Change,VIX_Change_5d,Consumer_Sentiment,Consumer_Sentiment_MoM,Consumer_Sentiment_ZScore,regime,prob_bull,prob_bear
2007-05-15,1501.18994140625,14.010000228881836,180673300,16713.314,85.717,4.4,7254.6,-0.001303983618386,-0.0043310624146138,0.0201905301681615,0.0001432699828243,60.19606151568935,14.23082859455053,15.94624951551783,-1.7154209209672988,2007,2,0.0193437472001811,5,0.0207564246076166,0.0647078679718802,1527.4599609375,-0.0171984996026517,0.0500001907348632,0.8000001907348633,88.3,1.2000000000000028,-0.00980120391555149,bull,0.9929295451487244,0.00707045485127557
2007-05-16,1514.1400146484375,13.5,114166500,16713.314,85.717,4.4,7254.6,0.0086265387776689,0.001031389175498,0.0282784479785653,0.0001834186437957,65.37835338340204,14.404038888260402,15.637807390066344,-1.233768501805942,2007,2,0.0193437472001811,5,0.0207564246076166,0.0647078679718802,1527.4599609375,-0.0087203243487228,-0.5100002288818359,0.619999885559082,88.3,1.2000000000000028,-0.01778295091885185,bull,0.993294607373677,0.006705392626322558
2007-05-17,1512.75,13.510000228881836,101132800,16713.314,85.717,4.4,7254.6,-0.0009180225309349,0.0142678228290731,0.0285708594298577,0.0003762553301194,64.4090174061439,14.264712008092149,15.363188313671506,-1.098476305579359,2007,2,0.0193437472001811,5,0.0207564246076166,0.0647078679718802,1527.4599609375,-0.0096303414254286,0.0100002288818359,-0.0900001525878924,88.3,1.2000000000000028,-0.02589643702505967,bull,0.9958283258005913,0.004171674199408457
2007-05-18,1522.75,12.760000228881836,99182000,16713.314,85.717,4.4,7254.6,0.006610477607007,0.0112229137617023,0.0258699262610924,0.0007431080702283,68.07610689334017,14.79071274860894,15.248693200658993,-0.4579804520500534,2007,2,0.0193437472001811,5,0.0207564246076166,0.0647078679718802,1527.4599609375,-0.0030835249747621,-0.75,-0.1899995803833007,88.3,1.2000000000000028,-0.03414818199579403,bull,0.9970222212889135,0.002977778711086413
2007-05-21,1525.0999755859375,13.300000190734863,174664600,16713.314,85.717,4.4,7254.6,0.0015432445154737,0.0146026350100558,0.0298257988379115,0.0014477133673898,68.88737830472714,15.221728899759682,15.24330034047913,-0.0215714407194482,2007,2,0.0193437472001811,5,0.0207564246076166,0.0647078679718802,1527.4599609375,-0.0015450390922941,0.5399999618530273,-0.6599998474121094,88.3,1.2000000000000028,-0.042545147861038954,bull,0.9981555810763862,0.0018444189236133453
2007-05-22,1524.1199951171875,13.0600004196167,82148800,16713.314,85.717,4.4,7254.6,-0.0006425680181219,0.0152745852330036,0.0295255773254199,0.0022208609597647,68.11005744237075,15.307777540336474,15.2561957804506,0.0515817598858738,2007,2,0.0193437472001811,5,0.0207564246076166,0.0647078679718802,1527.4599609375,-0.0021866143177085,-0.239999771118164,-0.9499998092651368,88.3,1.2000000000000028,-0.051094779488745974,bull,0.9978755962024121,0.0021244037975875424
2007-05-23,1522.280029296875,13.239999771118164,133786600,16713.314,85.717,4.4,7254.6,-0.00120723160001,0.0053759986326809,0.0179614988178831,0.0029096405354533,66.59072972863132,15.053969058936218,15.215750436147724,-0.1617813772115059,2007,2,0.0193437472001811,5,0.0207564246076166,0.0647078679718802,1527.4599609375,-0.0033912061678171,0.1799993515014648,-0.2600002288818359,88.3,1.2000000000000028,-0.05980504982804948,bull,0.9972332603804885,0.002766739619511011
2007-05-24,1507.510009765625,14.079999923706056,187593000,16713.314,85.717,4.4,7254.6,-0.0097025640795354,-0.0034638838105272,0.0088740236008866,0.0017689213357862,55.82538507965063,13.505325880885266,14.873665525095234,-1.3683396442099678,2007,2,0.0193437472001811,5,0.0207564246076166,0.0647078679718802,1527.4599609375,-0.0130608668522024,0.8400001525878924,0.5699996948242205,88.3,1.2000000000000028,-0.06868451047930219,bull,0.9761208462017966,0.023879153798203195
2007-05-25,1515.72998046875,13.34000015258789,83309200,16713.314,85.717,4.4,7254.6,0.005452680678653,-0.0046100932728615,0.0144973361076474,0.0001696509001031,59.72747200348091,12.793818764645948,14.457696173005376,-1.6638774083594292,2007,2,0.0193437472001811,5,0.0207564246076166,0.0647078679718802,1527.4599609375,-0.0076794029098808,-0.7399997711181658,0.5799999237060547,88.3,1.2000000000000028,-0.07774234835246317,bull,0.990134843624615,0.009865156375384833
2007-05-29,1518.1099853515625,13.529999732971191,82020000,16713.314,85.717,4.4,7254.6,0.0015702037391096,-0.0045832996828221,0.0241100334950785,0.0008642854037518,60.80697829312948,12.28042960423113,14.022242859250529,-1.741813255019398,2007,2,0.0193437472001811,5,0.0207564246076166,0.0647078679718802,1527.4599609375,-0.0061212573979345,0.1899995803833007,0.2299995422363281,88.3,1.2000000000000028,-0.08698844930393775,bull,0.9929458263876152,0.0070541736123848975
