ar_coeff,seed,comparison,accuracy_diff,macro_f1_diff,bear_f1_diff,bull_f1_diff
0.9,4,PELT vs HMM,0.01845775225594748,-0.034776945902600276,-0.1004804920238324,0.030926600218631806
0.9,5,PELT vs GMM,0.22272354388843318,0.028349330182813992,-0.11726907630522089,0.17396773667084886
0.9,5,PELT vs HMM,0.3921246923707957,0.07574049841236324,-0.24701195219123506,0.3984929490159616
0.9,6,PELT vs GMM,-0.02748154224774413,-0.014435062319666292,-0.007386585730380979,-0.021483538908951716
0.9,6,PELT vs HMM,-0.03404429860541436,-0.02464392153042172,-0.0236964735999019,-0.025591369460941538
0.9,7,PELT vs GMM,-0.07424118129614443,-0.05068526343805363,-0.041448830682881216,-0.05992169619322607
0.9,7,PELT vs HMM,-0.07095980311730932,-0.04835819652664858,-0.0393225626740947,-0.05739383037920254
0.9,8,PELT vs GMM,-0.0008203445447088065,-0.0008146539062624525,-0.0009657226997534796,-0.0006635851127715364
0.9,8,PELT vs HMM,0.0668580803937654,0.059129512672093654,0.057746556951331574,0.06051246839285562
0.9,9,PELT vs GMM,-0.13822805578342912,-0.07325241569103585,-0.037076918101275225,-0.10942791328079648
0.9,9,PELT vs HMM,-0.1390484003281378,-0.07380833141013171,-0.03761017227110294,-0.11000649054916045
0.95,0,PELT vs GMM,-0.002050861361772016,-0.00396839982013153,-0.006933610677760438,-0.0010031889625026214
0.95,0,PELT vs HMM,0.24405250205086132,0.15812133640780096,0.05836391433540436,0.25787875848019753
0.95,1,PELT vs GMM,-0.052502050861361726,-0.0462456784594929,-0.024054901069351486,-0.06843645584963431
0.95,1,PELT vs HMM,-0.08080393765381455,-0.07117767793958651,-0.04118116549453543,-0.10117419038463782
0.95,2,PELT vs GMM,0.566447908121411,0.22237624446010815,-0.23373493975903614,0.6784874286792524
0.95,2,PELT vs HMM,0.5849056603773585,0.24064293713118556,-0.21027092600080874,0.6915568002631799
0.95,3,PELT vs GMM,-0.09228876127973751,-0.08077977366352418,0.1760639724011212,-0.3376235197281696
0.95,3,PELT vs HMM,-0.05455291222313374,-0.04322820333866362,0.2176769222493652,-0.30413332892669254
0.95,4,PELT vs GMM,-0.02994257588187038,-0.10456916755022555,-0.2536401822929337,0.044501847192482624
0.95,4,PELT vs HMM,-0.039786710418375726,-0.08268396866170835,-0.16092250880710457,-0.004445428516312133
0.95,5,PELT vs GMM,0.19442165709598036,-0.07796876094280053,-0.3237561317449194,0.1678186098593184
0.95,5,PELT vs HMM,0.23625922887612805,-0.08775747515749838,-0.4121212121212121,0.23660626180621547
0.95,6,PELT vs GMM,-0.0061525840853158265,-0.004696021665490435,-0.004509653272294467,-0.004882390058686403
0.95,6,PELT vs HMM,-0.022149302707136997,-0.02307834643764073,-0.0299882809999919,-0.0161684118752895
0.95,7,PELT vs GMM,-0.07465135356849883,-0.0497324037859842,-0.03447116591142613,-0.06499364166054233
0.95,7,PELT vs HMM,-0.07054963084495491,-0.04695060813881857,-0.03231055705184954,-0.06159065922578766
0.95,8,PELT vs GMM,0.08080393765381466,0.03791449074749176,-0.015135741918830048,0.09096472341381368
0.95,8,PELT vs HMM,0.09515996718621822,0.061232972381806916,0.02770713790608348,0.09475880685753046
0.95,9,PELT vs GMM,-0.1583264971287941,-0.08648226784858504,-0.03725562762552184,-0.13570890807164826
0.95,9,PELT vs HMM,-0.03281378178835115,-0.008421615922101278,0.017034628499596666,-0.03387786034379925
0.99,0,PELT vs GMM,-0.22805578342904026,-0.2924134996659351,-0.4502662215502228,-0.13456077778164732
0.99,0,PELT vs HMM,-0.1443806398687449,-0.21092659100701727,-0.3686965366033862,-0.05315664541064835
0.99,1,PELT vs GMM,-0.1570959803117309,-0.15563088272123216,-0.08006882799433934,-0.23119293744812497
0.99,1,PELT vs HMM,-0.23502871205906484,-0.2269788668323156,-0.13106816727415438,-0.3228895663904767
0.99,2,PELT vs GMM,0.450369155045119,0.3389000555150017,0.03022921491893618,0.6475708961110673
0.99,2,PELT vs HMM,0.39417555373256774,0.2777498216819352,0.05751103422272494,0.4979886091411455
0.99,3,PELT vs GMM,-0.23995077932731745,-0.21121248780045165,0.061551282051282075,-0.4839762576521853
0.99,3,PELT vs HMM,-0.09310910582444626,-0.07038912376271877,0.21362460003764353,-0.35440284756308105
0.99,4,PELT vs GMM,-0.1505332239540607,-0.10901675483182005,-0.032342634955005306,-0.18569087470863477
0.99,4,PELT vs HMM,-0.14643150123051685,-0.10915836724762484,-0.039384571346786884,-0.17893216314846283
0.99,5,PELT vs GMM,0.2768662838392125,0.2000385437217832,0.16954041125347322,0.2305366761900931
0.99,5,PELT vs HMM,0.3113207547169811,0.31330317526867985,0.40045766590389015,0.2261486846334695
0.99,6,PELT vs GMM,0.03978671041837567,0.10817134090432168,0.2169777810717472,-0.0006350992631037888
0.99,6,PELT vs HMM,0.010664479081214151,0.07344717285733882,0.16803074827784314,-0.021136402563165402
0.99,7,PELT vs GMM,-0.07916324856439705,-0.059666691383152004,0.023410407638595532,-0.1427437904048996
