bear_vix_mean,seed,comparison,accuracy_diff,macro_f1_diff,bear_f1_diff,bull_f1_diff
25.0,6,PELT vs HMM,0.04634946677604601,0.0852413770498982,0.15691524641361665,0.013567507686179758
25.0,7,PELT vs GMM,-0.06193601312551267,-0.04628887873718368,-0.004395794467575209,-0.08818196300679226
25.0,7,PELT vs HMM,-0.03732567678424936,-0.03401388995350374,-0.023277320051513617,-0.044750459855493974
25.0,8,PELT vs GMM,-0.037735849056603765,-0.03807338452052478,-0.0457377340251337,-0.030409035015915853
25.0,8,PELT vs HMM,-0.028712059064807227,-0.027070749393979576,-0.030060968613626726,-0.024080530174332315
25.0,9,PELT vs GMM,-0.5365053322395406,-0.4754152621963609,-0.17269603285907648,-0.7781344915336452
25.0,9,PELT vs HMM,-0.5713699753896637,-0.5533834353851391,-0.3199114194852969,-0.7868554512849815
30.0,0,PELT vs GMM,-0.08326497128794097,-0.15475479997756875,-0.3023720939388571,-0.007137506016280493
30.0,0,PELT vs HMM,0.2030352748154225,0.135702145815013,0.023476142336459116,0.24792814929356694
30.0,1,PELT vs GMM,0.0709598031173092,0.06983196220959709,0.04120875356642584,0.09845517085276834
30.0,1,PELT vs HMM,-0.09146841673502881,-0.0860951831721053,-0.06324153326649218,-0.10894883307771841
30.0,2,PELT vs GMM,0.5114848236259228,0.4107937188905968,0.29042482553750026,0.5311626122436933
30.0,2,PELT vs HMM,0.31706316652994254,0.27370470440092737,0.2731061101083121,0.27430329869354264
30.0,3,PELT vs GMM,-0.3113207547169811,-0.24668461209185305,0.07997227715337052,-0.5733415013370766
30.0,3,PELT vs HMM,-0.12961443806398687,-0.14771590281308833,0.04508113979044209,-0.34051294541661875
30.0,4,PELT vs GMM,-0.17555373256767842,-0.14027588073781633,-0.08830609974005349,-0.19224566173557922
30.0,4,PELT vs HMM,-0.13453650533223954,-0.14298680881378834,-0.1795690681015385,-0.10640454952603828
30.0,5,PELT vs GMM,0.28301886792452835,0.13370367297083197,-0.07427481959788418,0.3416821655395482
30.0,5,PELT vs HMM,0.27809680065627573,0.1313454267305757,-0.056666489945361,0.31935734340651245
30.0,6,PELT vs GMM,0.07588187038556193,0.11528890874151365,0.19391001363429783,0.036667803848729474
30.0,6,PELT vs HMM,0.04634946677604601,0.0852413770498982,0.15691524641361665,0.013567507686179758
30.0,7,PELT vs GMM,-0.03978671041837567,-0.027704750313005455,0.008209884063995254,-0.06361938469000639
30.0,7,PELT vs HMM,-0.11894995898277272,-0.09778976573062748,-0.05191836130723382,-0.14366117015402136
30.0,8,PELT vs GMM,-0.034864643150123054,-0.035104907376809824,-0.04205673536064336,-0.028153079392976177
30.0,8,PELT vs HMM,-0.02789171452009842,-0.02622908923063605,-0.029024215820686816,-0.02343396264058506
30.0,9,PELT vs GMM,-0.5209187858900739,-0.4627841562404251,-0.16055864926759417,-0.765009663213256
30.0,9,PELT vs HMM,-0.5213289581624283,-0.5178908617023174,-0.30356268686622634,-0.7322190365384083
40.0,0,PELT vs GMM,0.03691550451189496,0.013760242024815461,-0.015813454837845076,0.04333393888747594
40.0,0,PELT vs HMM,-0.044298605414273995,-0.08158479700995697,-0.14846150853853035,-0.014708085481383582
40.0,1,PELT vs GMM,0.0693191140278917,0.06816999719132888,0.0403211418376449,0.09601885254501286
40.0,1,PELT vs HMM,-0.009844134536505345,-0.009417326262687098,-0.006211425518721114,-0.01262322700665297
40.0,2,PELT vs GMM,0.5123051681706317,0.4111021158925704,0.2886507794908393,0.5335534522943015
40.0,2,PELT vs HMM,0.31706316652994254,0.27452831092760543,0.2753759796548936,0.2736806422003174
40.0,3,PELT vs GMM,-0.31419196062346183,-0.25173063561237236,0.0713974469639122,-0.5748587181886571
40.0,3,PELT vs HMM,-0.13002461033634127,-0.1481833369929938,0.04434335422829144,-0.34071002821427904
40.0,4,PELT vs GMM,-0.13740771123872025,-0.1464583327402254,-0.18514905710648627,-0.1077676083739646
40.0,4,PELT vs HMM,-0.33798195242001644,-0.3444863335134365,-0.39527770444497795,-0.2936949625818951
40.0,5,PELT vs GMM,0.31993437243642336,0.32370374839406846,0.4166448116094064,0.23076268517873066
40.0,5,PELT vs HMM,0.3223954060705497,0.32758546307130554,0.4229390681003584,0.23223185804225277
40.0,6,PELT vs GMM,0.07383100902378992,0.11329347705051918,0.19181267585131845,0.0347742782497199
40.0,6,PELT vs HMM,0.06111566858080386,0.10904292517792946,0.19648093841642222,0.02160491193943681
40.0,7,PELT vs GMM,-0.034864643150123054,-0.023313972103196745,0.011331189281010845,-0.05795913348740456
40.0,7,PELT vs HMM,0.00041017227235440323,0.00037635093979504486,0.0002460874442091754,0.0005066144353808033
40.0,8,PELT vs GMM,-0.03158326497128794,-0.031727986612905656,-0.037892516794250874,-0.025563456431560327
40.0,8,PELT vs HMM,-0.0237899917965545,-0.022036203563825518,-0.023882682112318476,-0.02018972501533256
40.0,9,PELT vs GMM,-0.5188679245283019,-0.4611365560841344,-0.1590116047605591,-0.7632615074077096
40.0,9,PELT vs HMM,-0.5730106644790813,-0.5548496091986739,-0.321378121118298,-0.7883210972790498
