bear_std_return,seed,comparison,accuracy_diff,macro_f1_diff,bear_f1_diff,bull_f1_diff
0.018,6,PELT vs HMM,0.04265791632485638,0.07997538606561505,0.14902256458704266,0.01092820754418744
0.018,7,PELT vs GMM,-0.06439704675963909,-0.05146213423355661,-0.018001116837809916,-0.0849231516293032
0.018,7,PELT vs HMM,-0.16447908121410992,-0.07681817533262958,0.05400938651309589,-0.207645737178355
0.018,8,PELT vs GMM,-0.033634126333059955,-0.03434679331078372,-0.04153713213019339,-0.02715645449137416
0.018,8,PELT vs HMM,-0.02625102543068092,-0.024965890045886896,-0.027749373433583968,-0.022182406658189824
0.018,9,PELT vs GMM,-0.5430680885972108,-0.48030953596016307,-0.18510350124843555,-0.7755155706718905
0.018,9,PELT vs HMM,-0.5931091058244462,-0.5718276260542547,-0.34624962956654637,-0.7974056225419633
0.022,0,PELT vs GMM,-0.08449548810500407,-0.15587656114456677,-0.30322600995166116,-0.008527112337472276
0.022,0,PELT vs HMM,0.019278096800656286,-0.04274644434136016,-0.15355209588774443,0.06805920720502412
0.022,1,PELT vs GMM,0.0705496308449548,0.06941622535093339,0.04098711982500969,0.09784533087685698
0.022,1,PELT vs HMM,-0.09146841673502881,-0.0860951831721053,-0.06324153326649218,-0.10894883307771841
0.022,2,PELT vs GMM,0.5118949958982772,0.4111220327524558,0.2904401321664514,0.5318039333384602
0.022,2,PELT vs HMM,0.31706316652994254,0.2741157332054702,0.2742396905441645,0.2739917758667759
0.022,3,PELT vs GMM,-0.3121410992616899,-0.24813067200094946,0.07751303851569202,-0.5737743825175909
0.022,3,PELT vs HMM,-0.18375717801476615,-0.13567874478055936,0.1937814789377289,-0.46513896849884756
0.022,4,PELT vs GMM,-0.13740771123872025,-0.1464583327402254,-0.18514905710648627,-0.1077676083739646
0.022,4,PELT vs HMM,-0.13453650533223954,-0.14298680881378834,-0.1795690681015385,-0.10640454952603828
0.022,5,PELT vs GMM,0.28301886792452835,0.13370367297083197,-0.07427481959788418,0.3416821655395482
0.022,5,PELT vs HMM,0.27809680065627573,0.13141306616863546,-0.056199559086720974,0.31902569142399195
0.022,6,PELT vs GMM,0.07588187038556193,0.11528890874151365,0.19391001363429783,0.036667803848729474
0.022,6,PELT vs HMM,0.04634946677604601,0.0852413770498982,0.15691524641361665,0.013567507686179758
0.022,7,PELT vs GMM,-0.038966365873666864,-0.026988154635475547,0.008752180647070396,-0.0627284899180216
0.022,7,PELT vs HMM,-0.002050861361771905,-0.0018824928447931377,-0.001228169134002477,-0.0025368165555837985
0.022,8,PELT vs GMM,-0.03404429860541425,-0.03425912925459684,-0.04101144304750559,-0.027506815461688094
0.022,8,PELT vs HMM,-0.08203445447087776,-0.08433781289288733,-0.10413309997698283,-0.0645425258087916
0.022,9,PELT vs GMM,-0.5209187858900739,-0.4627841562404251,-0.16055864926759417,-0.765009663213256
0.022,9,PELT vs HMM,-0.5217391304347827,-0.5182526539512341,-0.3038750188443088,-0.7326302890581595
0.03,0,PELT vs GMM,0.31870385561936015,0.2588956575835935,0.16116324939222973,0.3566280657749573
0.03,0,PELT vs HMM,0.23995077932731745,0.18012294860573397,0.0775312448587627,0.28271465235270526
0.03,1,PELT vs GMM,0.069729286300246,0.0685852432669134,0.04054331417849921,0.0966271723553277
0.03,1,PELT vs HMM,-0.09146841673502881,-0.0860951831721053,-0.06324153326649218,-0.10894883307771841
0.03,2,PELT vs GMM,0.5672682526661197,0.2685697721699004,-0.06419073819348922,0.60133028253329
0.03,2,PELT vs HMM,0.35643970467596386,0.0983526930969314,-0.13971830985915493,0.3364236960530177
0.03,3,PELT vs GMM,-0.29819524200164066,-0.2374239785328306,0.09130509891790334,-0.5661530559835645
0.03,3,PELT vs HMM,-0.09721082854799012,-0.09448399899719606,0.17056050945708,-0.359528507451472
0.03,4,PELT vs GMM,-0.14520098441345364,-0.2118951296661215,-0.36989670437776684,-0.05389355495447612
0.03,4,PELT vs HMM,0.07506152584085318,-0.006535743464550381,-0.25674570727718726,0.24367422034808645
0.03,5,PELT vs GMM,0.2981952420016407,0.13107479086763785,-0.08792485010170192,0.35007443183697773
0.03,5,PELT vs HMM,0.273174733388023,0.11498562946617785,-0.06260493260224315,0.292576191534599
0.03,6,PELT vs GMM,0.05332239540607053,0.09275861173544464,0.16801929565525575,0.01749792781563364
0.03,6,PELT vs HMM,0.0467596390484003,0.09451279983632643,0.17984176951178388,0.009183830160868989
0.03,7,PELT vs GMM,-0.030762920426579132,-0.019389206527783087,0.014684711451376509,-0.05346312450694268
0.03,7,PELT vs HMM,-0.034864643150123054,-0.031658874654480584,-0.021643190975597082,-0.041674558333363976
0.03,8,PELT vs GMM,-0.033634126333059955,-0.032540062322347074,-0.037513162733073147,-0.027566961911621002
0.03,8,PELT vs HMM,-0.023379819524200207,-0.02104485836174841,-0.022154096950211644,-0.019935619773285174
0.03,9,PELT vs GMM,-0.5041017227235438,-0.4473765947009932,-0.1459369303295825,-0.748816259072404
0.03,9,PELT vs HMM,-0.5430680885972108,-0.5236462070438943,-0.2848527135513157,-0.762439700536473
